timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774178562440,11300651.0000,856.0000,10730.0000,864.0000,10396.0000
1774178562440,11300364.0000,856.0000,11067.0000,847.0000,10954.0000
1774178562440,11298651.0000,856.0000,10865.0000,850.0000,11209.0000
1774178562474,11305597.0000,856.0000,10998.0000,860.0000,11115.0000
1774178562476,11300781.0000,856.0000,11051.0000,881.0000,11298.0000
1774178562489,11298821.0000,856.0000,10820.0000,863.0000,10732.0000
1774178562513,11300633.0000,856.0000,11420.0000,861.0000,11442.0000
1774178562515,11300054.0000,856.0000,10999.0000,850.0000,11048.0000
1774178562517,11303658.0000,856.0000,10967.0000,856.0000,11274.0000
1774178562525,11300627.0000,856.0000,11235.0000,861.0000,11283.0000
1774178562547,11302237.0000,857.0000,11144.0000,875.0000,11125.0000
1774178562551,11301863.0000,857.0000,11000.0000,856.0000,10782.0000
1774178562579,11301467.0000,857.0000,11143.0000,856.0000,11329.0000
1774178562581,11300448.0000,857.0000,11367.0000,861.0000,11463.0000
1774178562594,11302546.0000,857.0000,11065.0000,866.0000,10863.0000
1774178562611,11299603.0000,858.0000,11143.0000,873.0000,11465.0000
1774178562626,11298368.0000,857.0000,11275.0000,849.0000,12044.0000
1774178562642,11300050.0000,857.0000,11174.0000,855.0000,10874.0000
1774178562658,11301546.0000,857.0000,11171.0000,866.0000,11072.0000
1774178562658,11306650.0000,858.0000,11169.0000,878.0000,11360.0000
1774178562673,11302546.0000,858.0000,11392.0000,855.0000,11473.0000
1774178562683,11299406.0000,857.0000,11168.0000,856.0000,11432.0000
1774178562706,11301807.0000,857.0000,10953.0000,866.0000,11041.0000
1774178562722,11301020.0000,857.0000,10946.0000,858.0000,10696.0000
1774178562722,11300993.0000,857.0000,10912.0000,863.0000,10741.0000
1774178562732,11303658.0000,857.0000,11158.0000,860.0000,11175.0000
1774178562753,11304221.0000,855.0000,11226.0000,858.0000,11391.0000
1774178562769,11299849.0000,856.0000,11117.0000,859.0000,11249.0000
1774178562781,11300448.0000,855.0000,11245.0000,857.0000,11210.0000
1774178562801,11301313.0000,856.0000,11336.0000,858.0000,11420.0000
1774178562817,11304633.0000,857.0000,11059.0000,877.0000,10639.0000
1774178562817,11298829.0000,857.0000,11240.0000,857.0000,11366.0000
1774178562833,11301344.0000,857.0000,11159.0000,848.0000,11361.0000
1774178562848,11299450.0000,856.0000,11114.0000,838.0000,10869.0000
1774178562865,11300446.0000,856.0000,11255.0000,862.0000,11248.0000
1774178562897,11299703.0000,855.0000,11249.0000,856.0000,11842.0000
1774178562897,11302546.0000,855.0000,11374.0000,856.0000,11494.0000
1774178562901,11300213.0000,855.0000,11223.0000,857.0000,11127.0000
1774178562901,11301747.0000,856.0000,11175.0000,858.0000,11031.0000
1774178562925,11302139.0000,856.0000,10901.0000,856.0000,10762.0000
1774178562944,11301562.0000,857.0000,11234.0000,874.0000,11235.0000
1774178562949,11305946.0000,857.0000,11021.0000,848.0000,10941.0000
1774178562949,11303109.0000,858.0000,11260.0000,875.0000,11160.0000
1774178562975,11301873.0000,857.0000,11017.0000,857.0000,10988.0000
1774178562991,11298709.0000,858.0000,11232.0000,865.0000,10733.0000
1774178563007,11302290.0000,857.0000,11277.0000,865.0000,11216.0000
1774178563023,11302271.0000,857.0000,11236.0000,850.0000,11119.0000
1774178563030,11301062.0000,856.0000,11318.0000,851.0000,11341.0000
1774178563055,11301252.0000,857.0000,11218.0000,870.0000,11564.0000
1774178563055,11301129.0000,857.0000,11238.0000,863.0000,11616.0000
1774178563061,11301768.0000,857.0000,11270.0000,862.0000,11126.0000
1774178563086,11301248.0000,858.0000,11049.0000,852.0000,11015.0000
1774178563103,11299700.0000,857.0000,11091.0000,861.0000,10802.0000
1774178563119,11301929.0000,856.0000,11269.0000,851.0000,10767.0000
1774178563134,11301540.0000,855.0000,11229.0000,833.0000,10572.0000
1774178563140,11300329.0000,857.0000,11086.0000,862.0000,10827.0000
1774178563156,11301725.0000,856.0000,11103.0000,853.0000,10759.0000
1774178563156,11301623.0000,856.0000,11224.0000,854.0000,10954.0000
1774178563172,11298977.0000,856.0000,11099.0000,841.0000,10793.0000
1774178563188,11300351.0000,855.0000,11394.0000,851.0000,11671.0000
1774178563214,11299237.0000,856.0000,11212.0000,865.0000,10832.0000
1774178563223,11300715.0000,856.0000,11126.0000,861.0000,10983.0000
1774178563235,11300228.0000,856.0000,11234.0000,856.0000,11104.0000
1774178563262,11300715.0000,855.0000,11204.0000,876.0000,10876.0000
1774178563264,11299437.0000,855.0000,11010.0000,858.0000,10730.0000
1774178563278,11301862.0000,855.0000,11259.0000,876.0000,11585.0000
1774178563294,11298963.0000,856.0000,11311.0000,861.0000,11870.0000
1774178563310,11300103.0000,855.0000,11142.0000,858.0000,11133.0000
1774178563326,11300706.0000,856.0000,11088.0000,864.0000,11394.0000
1774178563357,11296499.0000,856.0000,11129.0000,855.0000,11304.0000
1774178563357,11303005.0000,856.0000,10973.0000,853.0000,10516.0000
1774178563359,11300167.0000,856.0000,11208.0000,854.0000,11279.0000
1774178563363,11300567.0000,856.0000,10987.0000,855.0000,10385.0000
1774178563389,11300630.0000,855.0000,10922.0000,847.0000,11177.0000
1774178563404,11300448.0000,854.0000,10948.0000,865.0000,10660.0000
1774178563431,11301146.0000,855.0000,11095.0000,857.0000,10810.0000
1774178563431,11299126.0000,856.0000,11165.0000,861.0000,10580.0000
1774178563431,11300203.0000,855.0000,11039.0000,870.0000,11206.0000
1774178563443,11301155.0000,855.0000,11198.0000,871.0000,11201.0000
1774178563459,11300459.0000,856.0000,10917.0000,849.0000,10796.0000
1774178563481,11302546.0000,855.0000,10832.0000,841.0000,11023.0000
1774178563491,11301493.0000,856.0000,10810.0000,857.0000,10572.0000
1774178563491,11301252.0000,856.0000,10946.0000,861.0000,10795.0000
1774178563514,11301609.0000,857.0000,10710.0000,866.0000,10628.0000
1774178563523,11299252.0000,858.0000,10597.0000,853.0000,10592.0000
1774178563538,11297885.0000,859.0000,10918.0000,880.0000,10025.0000
1774178563554,11300770.0000,859.0000,11095.0000,846.0000,11444.0000
1774178563570,11297789.0000,858.0000,11022.0000,856.0000,11591.0000
1774178563578,11299393.0000,857.0000,10844.0000,832.0000,10359.0000
1774178563593,11300371.0000,857.0000,10704.0000,844.0000,10726.0000
1774178563602,11298694.0000,856.0000,10839.0000,863.0000,10589.0000
1774178563618,11299157.0000,856.0000,10974.0000,864.0000,11340.0000
1774178563649,11300448.0000,855.0000,10827.0000,869.0000,10824.0000
1774178563657,11302546.0000,855.0000,10978.0000,880.0000,11226.0000
1774178563657,11297269.0000,855.0000,10939.0000,875.0000,11392.0000
1774178563671,11299805.0000,855.0000,10749.0000,822.0000,10853.0000
1774178563681,11301302.0000,855.0000,10878.0000,855.0000,11066.0000
1774178563704,11298215.0000,856.0000,11022.0000,857.0000,11596.0000
1774178563729,11300448.0000,856.0000,10839.0000,848.0000,11097.0000
1774178563729,11301344.0000,856.0000,10845.0000,869.0000,11080.0000
1774178563729,11301146.0000,857.0000,10983.0000,866.0000,11278.0000
1774178563745,11301383.0000,857.0000,10786.0000,844.0000,10500.0000
1774178563761,11301248.0000,859.0000,10748.0000,858.0000,11233.0000
1774178563777,11300595.0000,858.0000,10896.0000,856.0000,10763.0000
1774178563798,11300301.0000,858.0000,10989.0000,869.0000,10846.0000
1774178563824,11299186.0000,857.0000,11189.0000,828.0000,11416.0000
1774178563824,11298477.0000,856.0000,10826.0000,857.0000,11196.0000
1774178563824,11301242.0000,857.0000,10654.0000,857.0000,10689.0000
1774178563840,11299496.0000,856.0000,10715.0000,858.0000,10403.0000
1774178563862,11302546.0000,855.0000,10900.0000,853.0000,11014.0000
1774178563872,11298075.0000,856.0000,10940.0000,868.0000,11190.0000
1774178563904,11298728.0000,857.0000,10946.0000,857.0000,11029.0000
1774178563908,11299708.0000,856.0000,10814.0000,872.0000,10650.0000
1774178563908,11299256.0000,856.0000,11079.0000,857.0000,11399.0000
1774178563920,11299849.0000,856.0000,10905.0000,859.0000,10915.0000
1774178563939,11299108.0000,856.0000,10998.0000,859.0000,11691.0000
1774178563952,11300669.0000,856.0000,10884.0000,868.0000,10921.0000
1774178563973,11299443.0000,855.0000,10980.0000,857.0000,11313.0000
1774178563973,11299181.0000,856.0000,10750.0000,843.0000,10303.0000
1774178563984,11299504.0000,857.0000,10761.0000,862.0000,10181.0000
1774178564000,11303913.0000,857.0000,10772.0000,857.0000,10866.0000
1774178564017,11299849.0000,857.0000,10683.0000,852.0000,10416.0000
1774178564034,11298651.0000,856.0000,10666.0000,853.0000,10698.0000
1774178564048,11299688.0000,855.0000,10688.0000,857.0000,10348.0000
1774178564064,11299874.0000,855.0000,10903.0000,826.0000,10414.0000
1774178564064,11300078.0000,856.0000,11026.0000,856.0000,11267.0000
1774178564080,11299275.0000,856.0000,11137.0000,861.0000,11766.0000
1774178564098,11299250.0000,857.0000,10631.0000,865.0000,10804.0000
1774178564115,11299250.0000,856.0000,10848.0000,857.0000,10927.0000
1774178564128,11300535.0000,857.0000,10721.0000,856.0000,10813.0000
1774178564147,11301093.0000,857.0000,11051.0000,849.0000,11197.0000
1774178564160,11298839.0000,856.0000,10913.0000,853.0000,11302.0000
1774178564177,11299902.0000,856.0000,10859.0000,852.0000,11206.0000
1774178564183,11299250.0000,855.0000,10655.0000,857.0000,10302.0000
1774178564198,11303294.0000,857.0000,10749.0000,885.0000,11034.0000
1774178564212,11300570.0000,857.0000,10861.0000,851.0000,11003.0000
1774178564225,11299473.0000,858.0000,11120.0000,854.0000,11388.0000
1774178564241,11300563.0000,858.0000,10716.0000,850.0000,10350.0000
1774178564257,11298524.0000,858.0000,11012.0000,862.0000,10928.0000
1774178564275,11300841.0000,857.0000,11199.0000,850.0000,11008.0000
1774178564277,11301059.0000,857.0000,11277.0000,860.0000,11317.0000
1774178564289,11299684.0000,856.0000,11405.0000,850.0000,11640.0000
1774178564305,11299822.0000,856.0000,11108.0000,871.0000,11232.0000
1774178564320,11299902.0000,857.0000,11104.0000,855.0000,11061.0000
1774178564336,11301238.0000,857.0000,11218.0000,857.0000,11564.0000
1774178564355,11300471.0000,856.0000,11102.0000,851.0000,11529.0000
1774178564355,11299849.0000,857.0000,11157.0000,866.0000,11622.0000
1774178564368,11298444.0000,855.0000,11138.0000,850.0000,10653.0000
1774178564386,11298029.0000,855.0000,11058.0000,858.0000,11258.0000
1774178564401,11301511.0000,855.0000,11205.0000,853.0000,10670.0000
1774178564432,11300764.0000,856.0000,11191.0000,861.0000,11566.0000
1774178564432,11300784.0000,856.0000,11190.0000,839.0000,11593.0000
1774178564432,11305313.0000,856.0000,11308.0000,861.0000,11993.0000
1774178564448,11300459.0000,856.0000,11341.0000,857.0000,11225.0000
1774178564465,11299331.0000,855.0000,11243.0000,845.0000,11264.0000
1774178564481,11300687.0000,855.0000,11092.0000,860.0000,11145.0000
1774178564512,11300906.0000,856.0000,11262.0000,872.0000,10899.0000
1774178564514,11300301.0000,856.0000,11201.0000,846.0000,11595.0000
1774178564514,11301677.0000,856.0000,11162.0000,869.0000,11073.0000
1774178564516,11303402.0000,855.0000,11222.0000,869.0000,11596.0000
1774178564543,11300558.0000,855.0000,11285.0000,863.0000,11906.0000
1774178564559,11301485.0000,856.0000,11242.0000,846.0000,11584.0000
1774178564575,11302207.0000,856.0000,11135.0000,865.0000,11108.0000
1774178564575,11301647.0000,857.0000,11076.0000,853.0000,10876.0000
1774178564591,11301266.0000,857.0000,11254.0000,870.0000,10923.0000
1774178564595,11301816.0000,856.0000,11167.0000,861.0000,11210.0000
1774178564623,11301781.0000,856.0000,10975.0000,854.0000,10376.0000
1774178564653,11299816.0000,856.0000,10980.0000,870.0000,10957.0000
1774178564653,11301437.0000,855.0000,11135.0000,852.0000,11096.0000
1774178564655,11305077.0000,856.0000,11269.0000,851.0000,11547.0000
1774178564669,11303052.0000,854.0000,11218.0000,813.0000,11113.0000
1774178564671,11300968.0000,854.0000,11160.0000,859.0000,11131.0000
1774178564701,11301858.0000,854.0000,11329.0000,858.0000,10878.0000
1774178564725,11300206.0000,855.0000,11196.0000,855.0000,10772.0000
1774178564725,11299849.0000,855.0000,11453.0000,847.0000,11695.0000
1774178564735,11304176.0000,855.0000,11260.0000,855.0000,11500.0000
1774178564750,11301493.0000,855.0000,11297.0000,855.0000,11265.0000
1774178564764,11301077.0000,855.0000,11179.0000,865.0000,10807.0000
1774178564780,11301647.0000,856.0000,11061.0000,859.0000,11055.0000
1774178564796,11301647.0000,856.0000,11375.0000,867.0000,10909.0000
1774178564827,11303275.0000,857.0000,11205.0000,851.0000,11082.0000
1774178564827,11301383.0000,856.0000,11109.0000,852.0000,10551.0000
1774178564831,11302281.0000,855.0000,11248.0000,851.0000,11505.0000
1774178564843,11303349.0000,855.0000,11220.0000,862.0000,10770.0000
1774178564858,11300925.0000,856.0000,11280.0000,873.0000,11278.0000
1774178564874,11311705.0000,857.0000,11025.0000,862.0000,10707.0000
1774178564905,11302546.0000,856.0000,11013.0000,861.0000,10945.0000
1774178564905,11302873.0000,856.0000,11155.0000,857.0000,11548.0000
1774178564905,11301368.0000,856.0000,11170.0000,860.0000,11195.0000
1774178564921,11301994.0000,855.0000,10991.0000,854.0000,10997.0000
1774178564936,11300438.0000,856.0000,11184.0000,846.0000,11558.0000
1774178564947,11304376.0000,855.0000,11330.0000,852.0000,11400.0000
1774178564959,11300367.0000,854.0000,11079.0000,826.0000,10734.0000
1774178564959,11302832.0000,855.0000,10986.0000,878.0000,10238.0000
1774178564975,11301266.0000,855.0000,11238.0000,838.0000,11101.0000
1774178564991,11301354.0000,855.0000,11313.0000,853.0000,11426.0000
1774178565016,11301297.0000,856.0000,11372.0000,875.0000,11253.0000
1774178565022,11301983.0000,857.0000,11179.0000,860.0000,10724.0000
1774178565048,11303139.0000,857.0000,11192.0000,853.0000,11289.0000
1774178565064,11300870.0000,856.0000,11353.0000,855.0000,11456.0000
1774178565064,11302103.0000,857.0000,11317.0000,862.0000,11100.0000
1774178565080,11301135.0000,856.0000,11368.0000,853.0000,11240.0000
1774178565096,11300523.0000,856.0000,11237.0000,849.0000,10921.0000
1774178565111,11301965.0000,856.0000,11213.0000,854.0000,11134.0000
1774178565127,11301319.0000,855.0000,11392.0000,854.0000,11454.0000
1774178565143,11301462.0000,855.0000,11217.0000,860.0000,11171.0000
1774178565159,11300941.0000,856.0000,11181.0000,871.0000,11303.0000
1774178565171,11300836.0000,857.0000,11305.0000,855.0000,11055.0000
1774178565171,11301030.0000,856.0000,11232.0000,851.0000,11336.0000
1774178565181,11301772.0000,856.0000,11272.0000,858.0000,11168.0000
1774178565198,11302546.0000,856.0000,10993.0000,848.0000,10997.0000
1774178565213,11308497.0000,856.0000,11325.0000,857.0000,11456.0000
