timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1774177590508,11696219.0000,798.0000,10967.0000,787.0000,10629.0000
1774177590508,11690911.0000,798.0000,10846.0000,798.0000,10808.0000
1774177590518,11689881.0000,798.0000,10727.0000,808.0000,10274.0000
1774177590534,11690323.0000,798.0000,10781.0000,795.0000,11271.0000
1774177590534,11689848.0000,798.0000,10580.0000,806.0000,10646.0000
1774177590556,11690895.0000,798.0000,10730.0000,796.0000,10561.0000
1774177590566,11691440.0000,796.0000,10827.0000,796.0000,11128.0000
1774177590566,11691440.0000,796.0000,10728.0000,794.0000,11010.0000
1774177590582,11690351.0000,796.0000,10744.0000,793.0000,10381.0000
1774177590601,11690624.0000,797.0000,10794.0000,800.0000,10201.0000
1774177590614,11689832.0000,796.0000,10996.0000,798.0000,11240.0000
1774177590635,11690874.0000,798.0000,11198.0000,805.0000,11189.0000
1774177590667,11690287.0000,797.0000,11056.0000,794.0000,11347.0000
1774177590669,11689656.0000,798.0000,10904.0000,793.0000,11107.0000
1774177590669,11692806.0000,798.0000,10976.0000,811.0000,10348.0000
1774177590677,11690656.0000,798.0000,10982.0000,795.0000,11055.0000
1774177590693,11690954.0000,799.0000,10733.0000,798.0000,10660.0000
1774177590710,11690240.0000,798.0000,11009.0000,786.0000,11147.0000
1774177590725,11689807.0000,797.0000,10985.0000,794.0000,11336.0000
1774177590725,11689044.0000,798.0000,11057.0000,795.0000,11780.0000
1774177590741,11690656.0000,799.0000,10841.0000,790.0000,10323.0000
1774177590757,11689734.0000,799.0000,10916.0000,801.0000,10778.0000
1774177590773,11691210.0000,799.0000,10669.0000,808.0000,10464.0000
1774177590790,11691440.0000,800.0000,10753.0000,809.0000,10858.0000
1774177590806,11691613.0000,799.0000,11154.0000,805.0000,11595.0000
1774177590822,11691855.0000,798.0000,11091.0000,806.0000,11418.0000
1774177590822,11689566.0000,797.0000,11142.0000,798.0000,11518.0000
1774177590838,11689129.0000,797.0000,10799.0000,794.0000,10686.0000
1774177590854,11688852.0000,796.0000,10891.0000,801.0000,10610.0000
1774177590871,11689037.0000,798.0000,10846.0000,803.0000,10821.0000
1774177590903,11689540.0000,799.0000,11115.0000,811.0000,11084.0000
1774177590903,11690259.0000,798.0000,11015.0000,800.0000,10443.0000
1774177590903,11689588.0000,798.0000,11060.0000,809.0000,10744.0000
1774177590918,11689202.0000,798.0000,11063.0000,796.0000,11387.0000
1774177590935,11688961.0000,800.0000,11221.0000,790.0000,10534.0000
