t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,6.0,6.0,0.0,0.0,0.0,11563120,26769,34804,0
0.0,6.0,6.0,0.0,0.0,0.0,11563373,26737,30927,0
0.0,6.0,6.0,0.0,0.0,0.0,11563831,26794,36790,0
0.01238,6.0,6.0,0.0,0.0,0.0,11565359,26718,30307,0
0.01238,6.0,6.0,0.0,0.0,0.0,11566609,26795,35256,0
0.01238,6.0,6.0,0.0,0.0,0.0,11562266,26790,33270,0
0.04459,6.0,6.0,0.0,0.0,0.0,11563495,26722,35902,0
0.04459,6.0,6.0,0.0,0.0,0.0,11563041,26712,32161,0
0.04459,6.0,6.0,0.0,0.0,0.0,11564286,26743,30784,0
0.07659,6.0,6.0,0.0,0.0,0.0,11564580,26701,36295,0
0.07659,6.0,6.0,0.0,0.0,0.0,11562550,26770,28088,0
0.07659,6.0,6.0,0.0,0.0,0.0,11565204,26755,33380,0
0.10826,6.0,6.0,0.0,0.0,0.0,11563221,26811,34267,0
0.10826,6.0,6.0,0.0,0.0,0.0,11562801,26678,32249,0
0.10826,6.0,6.0,0.0,0.0,0.0,11564742,26744,36199,0
0.13994,6.0,6.0,0.0,0.0,0.0,11561667,26745,33285,0
0.13994,6.0,6.0,0.0,0.0,0.0,11563266,26799,29629,0
0.13994,6.0,6.0,0.0,0.0,0.0,11563795,26816,36190,0
0.17158,6.0,6.0,0.0,0.0,-0.025,11563980,26759,34253,0
0.17158,6.0,6.0,0.0,0.0,-0.025,11563373,26778,35878,0
0.17158,6.0,6.0,0.0,0.0,-0.025,11562892,26830,36645,0
0.20359,6.0,6.0,0.0,0.0,-0.025,11562011,26761,33543,0
0.20359,6.0,6.0,0.0,0.0,-0.025,11562534,26821,31718,0
0.20359,6.0,6.0,0.0,0.0,-0.025,11562651,26845,32920,0
0.23612,6.0,6.0,0.0,0.0,-0.025,11563678,26831,30497,0
0.23612,6.0,6.0,0.0,0.0,-0.025,11569146,26747,34975,0
0.23612,6.0,6.0,0.0,0.0,-0.025,11562357,26704,31716,0
0.25326,6.0,6.0,0.0,0.0,-0.025,11564295,26701,32272,0
0.25326,6.0,6.0,0.0,0.0,-0.025,11562699,26763,33914,0
0.25326,6.0,6.0,0.0,0.0,-0.025,11563773,26777,35252,0
0.28338,6.0,6.0,0.0,0.0,-0.025,11562412,26791,34983,0
0.28338,6.0,6.0,0.0,0.0,-0.025,11561995,26849,31723,0
0.28338,6.0,6.0,0.0,0.0,-0.025,11562281,26741,39318,0
0.31548,6.0,6.0,0.0,0.0,-0.025,11563834,26746,34979,0
0.31548,6.0,6.0,0.0,0.0,-0.025,11562801,26771,29512,0
0.31548,6.0,6.0,0.0,0.0,-0.025,11565413,26820,35267,0
0.34651,6.0,6.0,0.0,0.0,-0.025,11563373,26845,31994,0
0.34651,6.0,6.0,0.0,0.0,-0.025,11563266,26770,35172,0
0.34651,6.0,6.0,0.0,0.0,-0.025,11563795,26809,33298,0
0.37885,6.0,6.0,0.0,0.0,-0.1219,11563068,26804,33368,0
0.37885,6.0,6.0,0.0,0.0,-0.1219,11564295,26890,33850,0
0.37885,6.0,6.0,0.0,0.0,-0.1219,11563373,26743,31794,0
0.41062,6.0,6.0,0.0,0.0,-0.1219,11563068,26819,36445,0
0.41062,6.0,6.0,0.0,0.0,-0.1219,11562784,26793,36111,0
0.41062,6.0,6.0,0.0,0.0,-0.1219,11564841,26778,30440,0
0.44268,6.0,6.0,0.0,0.0,-0.1219,11563221,26782,37277,0
0.44268,6.0,6.0,0.0,0.0,-0.1219,11566609,26762,29945,0
0.44268,6.0,6.0,0.0,0.0,-0.1219,11564820,26761,32440,0
0.47936,6.0,6.0,0.0,0.0,-0.1219,11563802,26736,31738,0
0.47936,6.0,6.0,0.0,0.0,-0.1219,11563206,26742,28908,0
0.47936,6.0,6.0,0.0,0.0,-0.1219,11565639,26839,33400,0
0.4936,6.0,6.0,0.0,0.0,-0.1219,11567823,26774,32870,0
0.4936,6.0,6.0,0.0,0.0,-0.1219,11563650,26688,31055,0
0.4936,6.0,6.0,0.0,0.0,-0.1219,11564182,26822,36194,0
0.52555,6.0,6.0,0.0,0.0,-0.1219,11562062,26783,32895,0
0.52555,6.0,6.0,0.0,0.0,-0.1219,11563957,26811,35507,0
0.52555,6.0,6.0,0.0,0.0,-0.1219,11565778,26794,32103,0
0.55756,6.0,6.0,0.0,0.0,-0.1219,11564209,26798,36846,0
0.55756,6.0,6.0,0.0,0.0,-0.1219,11563319,26823,36213,0
0.55756,6.0,6.0,0.0,0.0,-0.1219,11561306,26729,36238,0
0.58934,6.0,6.0,0.0,0.0,-0.2812,11564408,26740,32561,0
0.58934,6.0,6.0,0.0,0.0,-0.2812,11562056,26832,28958,0
0.58934,6.0,6.0,0.0,0.0,-0.2812,11564118,26668,31824,0
0.62118,6.0,6.0,0.0,0.0,-0.2812,11564604,26749,29242,0
0.62118,6.0,6.0,0.0,0.0,-0.2812,11564903,26748,35208,0
0.62118,6.0,6.0,0.0,0.0,-0.2812,11563655,26762,30567,0
0.65402,6.0,6.0,0.0,0.0,-0.2812,11562895,26745,34966,0
0.65402,6.0,6.0,0.0,0.0,-0.2812,11566029,26765,31867,0
0.65402,6.0,6.0,0.0,0.0,-0.2812,11563373,26796,33753,0
0.67135,6.0,6.0,0.0,0.0,-0.2812,11563871,26738,33059,0
0.67135,6.0,6.0,0.0,0.0,-0.2812,11564488,26866,33849,0
0.67135,6.0,6.0,0.0,0.0,-0.2812,11564335,26807,33848,0
0.71809,6.0,6.0,0.0,0.0,-0.2812,11564742,26882,31824,0
0.71809,6.0,6.0,0.0,0.0,-0.2812,11562816,26745,34295,0
0.71809,6.0,6.0,0.0,0.0,-0.2812,11563957,26773,33914,0
0.73375,6.0,6.0,0.0,0.0,-0.2812,11562826,26788,32871,0
0.73375,6.0,6.0,0.0,0.0,-0.2812,11563492,26802,35497,0
0.73375,6.0,6.0,0.0,0.0,-0.2812,11562879,26779,34176,0
0.77195,6.0,6.0,0.0,0.0,-0.2812,11564302,26718,31233,0
0.77195,6.0,6.0,0.0,0.0,-0.2812,11563428,26805,42043,0
