t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,0.0,0.0,0.0,0.0,-22.0,11852329,25567,33969,1
0.0,0.0,0.0,0.0,0.0,-22.0,11849213,25474,33772,1
0.0,0.0,0.0,0.0,0.0,-22.0,11850910,25419,36440,1
0.02774,0.0,0.0,0.0,0.0,-22.0,11851738,25501,34756,1
0.0298,0.0,0.0,0.0,0.0,-22.0,11852043,25560,33166,1
0.0298,0.0,0.0,0.0,0.0,-22.0,11849661,25547,32964,1
0.05981,0.0,0.0,0.0,0.0,-22.0,11853305,25425,31201,1
0.05981,0.0,0.0,0.0,0.0,-22.0,11852994,25522,34546,1
0.05981,0.0,0.0,0.0,0.0,-22.0,11860403,25523,31631,1
0.09548,0.0,0.0,0.0,0.0,-22.0,11851938,25583,32046,1
0.09548,0.0,0.0,0.0,0.0,-22.0,11852634,25482,33122,1
0.09548,0.0,0.0,0.0,0.0,-22.0,11853064,25541,35051,1
0.12342,0.0,0.0,0.0,0.0,-22.0,11853324,25513,36745,1
0.1246,0.0,0.0,0.0,0.0,-22.0,11855817,25497,37769,1
0.1246,0.0,0.0,0.0,0.0,-22.0,11852339,25560,34606,1
0.14343,0.0,0.0,0.0,0.0,-22.0,11850638,25578,31113,1
0.14343,0.0,0.0,0.0,0.0,-22.0,11853636,25505,32270,1
0.14343,0.0,0.0,0.0,0.0,-22.0,11846552,25560,35244,1
0.17142,0.0,0.0,0.0,0.0,-22.0,11855655,25534,29591,1
0.17142,0.0,0.0,0.0,0.0,-22.0,11850481,25499,33638,1
0.17142,0.0,0.0,0.0,0.0,-22.0,11853220,25483,35378,1
0.20335,0.0,0.0,0.0,0.0,-22.0,11850057,25457,34767,1
0.20335,0.0,0.0,0.0,0.0,-22.0,11852239,25587,34979,1
0.20335,0.0,0.0,0.0,0.0,-22.0,11846075,25514,31826,1
0.23475,0.0531,0.0531,0.0,0.0,-22.0,11849226,25553,33703,1
0.23475,0.0531,0.0531,0.0,0.0,-22.0,11850131,25516,33218,1
0.23475,0.0531,0.0531,0.0,0.0,-22.0,11851272,25621,33302,1
0.26679,0.0531,0.0531,0.0,0.0,-22.0,11847791,25505,34633,1
0.26679,0.0531,0.0531,0.0,0.0,-22.0,11854317,25504,32108,1
0.26679,0.0531,0.0531,0.0,0.0,-22.0,11846333,25456,35243,1
0.29849,0.0531,0.0531,0.0,0.0,-22.0,11852162,25571,36521,1
0.29849,0.0531,0.0531,0.0,0.0,-22.0,11844148,25596,32493,1
0.29849,0.0531,0.0531,0.0,0.0,-22.0,11848044,25562,33037,1
0.33094,0.0531,0.0531,0.0,0.0,-22.0,11846190,25526,31757,1
