t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,0.0,0.0,0.0,0.0,0.0,11840280,25546,37878,0
0.0,0.0,0.0,0.0,0.0,0.0,11842741,25639,36420,0
0.0,0.0,0.0,0.0,0.0,0.0,11841431,25597,33955,0
0.04773,0.0,0.0,0.0,0.0,0.0,11841647,25580,36225,0
0.04773,0.0,0.0,0.0,0.0,0.0,11841274,25546,31366,0
0.04773,0.0,0.0,0.0,0.0,0.0,11843843,25549,30720,0
0.06187,0.0,0.0,0.0,0.0,0.0,11840494,25538,33010,0
0.06187,0.0,0.0,0.0,0.0,0.0,11838970,25590,33694,0
0.06187,0.0063,0.0063,0.0,0.0,0.0,11840921,25658,32999,0
0.09296,0.0063,0.0063,0.0,0.0,0.0,11839313,25620,33665,0
0.09296,0.0063,0.0063,0.0,0.0,0.0,11838761,25557,37632,0
0.09296,0.0063,0.0063,0.0,0.0,0.0,11839977,25621,38959,0
0.12542,0.0063,0.0063,0.0,0.0,0.0,11842323,25583,41801,0
0.12542,0.0063,0.0063,0.0,0.0,0.0,11839777,25580,34978,0
0.12542,0.0063,0.0063,0.0,0.0,0.0,11838580,25616,33904,0
0.15668,0.0063,0.0063,0.0,0.0,0.0,11841831,25470,37750,0
0.15668,0.0063,0.0063,0.0,0.0,0.0,11841960,25656,27543,0
0.15668,0.0063,0.0063,0.0,0.0,0.0,11841276,25587,34989,0
0.19067,0.0063,0.0063,0.0,0.0,0.0,11838494,25648,30621,0
0.19067,0.0063,0.0063,0.0,0.0,0.0,11838818,25663,33678,0
0.19067,0.0063,0.0063,0.0,0.0,0.0,11841903,25603,32964,0
0.22018,0.0063,0.0063,0.0,0.0,0.0,11839313,25624,31990,0
0.22147,0.0063,0.0063,0.0,0.0,0.0,11837125,25566,34093,0
0.22147,0.0063,0.0063,0.0,0.0,0.0,11837980,25566,37401,0
0.25199,0.0063,0.0063,0.0,0.0,0.0,11839012,25624,34493,0
0.25199,0.0063,0.0063,0.0,0.0,0.0,11838828,25620,33166,0
0.25199,0.0063,0.0063,0.0,0.0,0.0,11837244,25595,31064,0
0.28354,0.0719,0.0719,0.0,0.0,0.0,11837125,25565,31553,0
0.28354,0.0719,0.0719,0.0,0.0,0.0,11834681,25619,33304,0
0.28354,0.0719,0.0719,0.0,0.0,0.0,11838920,25557,31506,0
0.30072,0.0719,0.0719,0.0,0.0,0.0,11835078,25582,36369,0
0.30072,0.0719,0.0719,0.0,0.0,0.0,11839424,25596,29549,0
0.30072,0.0719,0.0719,0.0,0.0,0.0,11840494,25538,36820,0
0.33257,0.0719,0.0719,0.0,0.0,0.0,11835628,25691,30348,0
0.33257,0.0719,0.0719,0.0,0.0,0.0,11834724,25551,38233,0
0.33257,0.0719,0.0719,0.0,0.0,0.0,11834226,25603,33369,0
0.36467,0.0719,0.0719,0.0,0.0,0.0,11836257,25571,34676,0
