t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,12.0,12.0,0.0,0.0,0.0,11413606,27672,31199,0
0.0,12.0,12.0,0.0,0.0,0.0,11413749,27779,37049,0
0.0,12.0,12.0,0.0,0.0,0.0,11414894,27703,34134,0
0.03215,12.0,12.0,0.0,0.0,0.0,11416955,27712,33525,0
0.03215,12.0,12.0,0.0,0.0,0.0,11413745,27694,34024,0
0.03215,12.0,12.0,0.0,0.0,0.0,11413877,27687,30809,0
0.04814,12.0,12.0,0.0,0.0,0.0,11414094,27594,35509,0
0.04814,12.0,12.0,0.0,0.0,0.0,11414515,27681,36916,0
0.04814,12.0,12.0,0.0,0.0,0.0,11412845,27601,32707,0
0.07911,12.0,12.0,0.0,0.0,-0.0063,11414307,27745,32164,0
0.07911,12.0,12.0,0.0,0.0,-0.0063,11414485,27807,35689,0
0.07911,12.0,12.0,0.0,0.0,-0.0063,11414379,27556,36998,0
0.11343,12.0,12.0,0.0,0.0,-0.0063,11414866,27684,33599,0
0.11343,12.0,12.0,0.0,0.0,-0.0063,11413791,27724,31942,0
0.11343,12.0,12.0,0.0,0.0,-0.0063,11415195,27653,33608,0
0.14392,12.0,12.0,0.0,0.0,-0.0063,11412668,27714,37392,0
0.14392,12.0,12.0,0.0,0.0,-0.0063,11413823,27684,32685,0
0.14392,12.0,12.0,0.0,0.0,-0.0063,11414050,27730,32852,0
0.17611,12.0,12.0,0.0,0.0,-0.0063,11414537,27760,32218,0
0.17611,12.0,12.0,0.0,0.0,-0.0063,11416337,27683,34580,0
0.17611,12.0,12.0,0.0,0.0,-0.0063,11414563,27680,30889,0
0.2079,12.0,12.0,0.0,0.0,-0.0063,11414112,27701,34279,0
0.2079,12.0,12.0,0.0,0.0,-0.0063,11415995,27731,35073,0
0.2079,12.0,12.0,0.0,0.0,-0.0063,11416517,27757,33300,0
0.22563,12.0,12.0,0.0,0.0,-0.0063,11416476,27790,35776,0
0.22563,12.0,12.0,0.0,0.0,-0.0063,11414307,27722,31865,0
0.22563,12.0,12.0,0.0,0.0,-0.0063,11413161,27664,32016,0
0.273,12.0,12.0,0.0,0.0,-0.0063,11414577,27652,34009,0
0.273,12.0,12.0,0.0,0.0,-0.0063,11413791,27689,31810,0
0.273,12.0,12.0,0.0,0.0,-0.0063,11414243,27676,29792,0
0.3041,12.0,12.0,0.0,0.0,-0.0781,11413411,27718,34725,0
0.30528,12.0,12.0,0.0,0.0,-0.0781,11414124,27722,35328,0
0.30528,12.0,12.0,0.0,0.0,-0.0781,11414380,27604,35568,0
0.32279,12.0,12.0,0.0,0.0,-0.0781,11413023,27712,34047,0
0.32279,12.0,12.0,0.0,0.0,-0.0781,11414887,27680,36096,0
0.32279,12.0,12.0,0.0,0.0,-0.0781,11415116,27664,35237,0
0.35134,12.0,12.0,0.0,0.0,-0.0781,11412762,27674,33687,0
0.35134,12.0,12.0,0.0,0.0,-0.0781,11414299,27643,35757,0
0.35134,12.0,12.0,0.0,0.0,-0.0781,11416834,27732,32074,0
0.38335,12.0,12.0,0.0,0.0,-0.0781,11414636,27715,31663,0
0.38335,12.0,12.0,0.0,0.0,-0.0781,11416131,27662,29634,0
0.38335,12.0,12.0,0.0,0.0,-0.0781,11413072,27713,36877,0
0.41587,12.0,12.0,0.0,0.0,-0.0781,11413072,27722,34247,0
0.41587,12.0,12.0,0.0,0.0,-0.0781,11414982,27755,33698,0
0.41587,12.0,12.0,0.0,0.0,-0.0781,11414363,27726,34664,0
0.44815,12.0,12.0,0.0,0.0,-0.0781,11413977,27701,28845,0
0.44815,12.0,12.0,0.0,0.0,-0.0781,11413701,27622,29120,0
0.44815,12.0,12.0,0.0,0.0,-0.0781,11413687,27757,38502,0
0.47997,12.0,12.0,0.0,0.0,-0.0781,11414720,27644,32156,0
0.47997,12.0,12.0,0.0,0.0,-0.0781,11414068,27764,31094,0
