t_s,xa_mm,xb_mm,ya_mm,yb_mm,z_mm,ldc_raw,r_raw,teng_raw,is_steady
0.0,0.0,0.0,0.0,0.0,-10.0,11974202,25294,32303,1
0.0,0.0,0.0,0.0,0.0,-10.0,11972650,25307,36149,1
0.0,0.0,0.0,0.0,0.0,-10.0,11972767,25302,34358,1
0.00603,0.0,0.0,0.0,0.0,-10.0,11971073,25303,39176,1
0.00603,0.0,0.0,0.0,0.0,-10.0,11974543,25280,36724,1
0.00603,0.0,0.0,0.0,0.0,-10.0,11974076,25252,35206,1
0.03839,0.0,0.0,0.0,0.0,-10.0,11974105,25309,36298,1
0.03839,0.0,0.0,0.0,0.0,-10.0,11973640,25229,33901,1
0.03839,0.0,0.0,0.0,0.0,-10.0,11974216,25285,34161,1
0.07001,0.0,0.0,0.0,0.0,-10.0,11974605,25237,33877,1
0.07001,0.0,0.0,0.0,0.0,-10.0,11973441,25314,32308,1
0.07001,0.0,0.0,0.0,0.0,-10.0,11973730,25259,31013,1
0.10123,0.0,0.0,0.0,0.0,-10.0,11973738,25273,34999,1
0.10123,0.0,0.0,0.0,0.0,-10.0,11971736,25279,34512,1
0.10227,0.0,0.0,0.0,0.0,-10.0,11975851,25253,36097,1
0.13229,0.0156,0.0156,0.0,0.0,-10.0,11976165,25372,33738,1
0.13229,0.0156,0.0156,0.0,0.0,-10.0,11972831,25246,35326,1
0.13229,0.0156,0.0156,0.0,0.0,-10.0,11971754,25274,36661,1
0.16446,0.0156,0.0156,0.0,0.0,-10.0,11974529,25333,36877,1
0.16446,0.0156,0.0156,0.0,0.0,-10.0,11973211,25280,31866,1
0.16577,0.0156,0.0156,0.0,0.0,-10.0,11972667,25310,35974,1
0.19661,0.0156,0.0156,0.0,0.0,-10.0,11972034,25327,33936,1
0.19661,0.0156,0.0156,0.0,0.0,-10.0,11971637,25267,32301,1
0.19661,0.0156,0.0156,0.0,0.0,-10.0,11971593,25310,30099,1
0.23252,0.0156,0.0156,0.0,0.0,-10.0,11972153,25291,30197,1
0.23252,0.0156,0.0156,0.0,0.0,-10.0,11972473,25254,33260,1
0.23252,0.0156,0.0156,0.0,0.0,-10.0,11970001,25288,33175,1
0.25126,0.0156,0.0156,0.0,0.0,-10.0,11971221,25244,29675,1
0.25126,0.0156,0.0156,0.0,0.0,-10.0,11969960,25214,35256,1
0.25126,0.0156,0.0156,0.0,0.0,-10.0,11970366,25364,31399,1
0.28741,0.0156,0.0156,0.0,0.0,-10.0,11971307,25262,31032,1
0.28741,0.0156,0.0156,0.0,0.0,-10.0,11981018,25286,35095,1
0.28741,0.0156,0.0156,0.0,0.0,-10.0,11968460,25323,35271,1
0.31941,0.0938,0.0938,0.0,0.0,-10.0,11969724,25331,30289,1
0.31941,0.0938,0.0938,0.0,0.0,-10.0,11967601,25322,36688,1
0.31941,0.0938,0.0938,0.0,0.0,-10.0,11969802,25273,33273,1
0.35045,0.0938,0.0938,0.0,0.0,-10.0,11973380,25303,31527,1
0.35045,0.0938,0.0938,0.0,0.0,-10.0,11967803,25302,29909,1
0.35146,0.0938,0.0938,0.0,0.0,-10.0,11965784,25282,32441,1
0.3666,0.0938,0.0938,0.0,0.0,-10.0,11965705,25269,31562,1
0.3666,0.0938,0.0938,0.0,0.0,-10.0,11967336,25328,37658,1
0.3666,0.0938,0.0938,0.0,0.0,-10.0,11968883,25336,32701,1
0.39824,0.0938,0.0938,0.0,0.0,-10.0,11965560,25245,33448,1
0.39824,0.0938,0.0938,0.0,0.0,-10.0,11965769,25385,38559,1
0.39824,0.0938,0.0938,0.0,0.0,-10.0,11965822,25320,34374,1
0.43242,0.0938,0.0938,0.0,0.0,-10.0,11965919,25284,32227,1
0.43242,0.0938,0.0938,0.0,0.0,-10.0,11962828,25238,33198,1
0.43242,0.0938,0.0938,0.0,0.0,-10.0,11959996,25378,35705,1
0.46364,0.0938,0.0938,0.0,0.0,-10.0,11964048,25270,34465,1
0.46364,0.0938,0.0938,0.0,0.0,-10.0,11963642,25327,34952,1
0.46364,0.0938,0.0938,0.0,0.0,-10.0,11962943,25291,35634,1
0.49991,0.0938,0.0938,0.0,0.0,-10.0,11964406,25369,33053,1
0.49991,0.0938,0.0938,0.0,0.0,-10.0,11963422,25231,29227,1
0.49991,0.0938,0.0938,0.0,0.0,-10.0,11961757,25357,36779,1
0.51709,0.0938,0.0938,0.0,0.0,-10.0,11961737,25328,32776,1
0.51709,0.0938,0.0938,0.0,0.0,-10.0,11961705,25252,33081,1
0.51709,0.0938,0.0938,0.0,0.0,-10.0,11960724,25250,31302,1
0.54727,0.2406,0.2406,0.0,0.0,-10.0,11962884,25277,31474,1
0.54727,0.2406,0.2406,0.0,0.0,-10.0,11959221,25385,36529,1
0.54727,0.2406,0.2406,0.0,0.0,-10.0,11959394,25312,34452,1
0.57868,0.2406,0.2406,0.0,0.0,-10.0,11960107,25345,35231,1
0.57868,0.2406,0.2406,0.0,0.0,-10.0,11957904,25376,35451,1
0.57868,0.2406,0.2406,0.0,0.0,-10.0,11957163,25360,36266,1
0.61253,0.2406,0.2406,0.0,0.0,-10.0,11958304,25267,35449,1
0.61253,0.2406,0.2406,0.0,0.0,-10.0,11956200,25313,30238,1
0.61253,0.2406,0.2406,0.0,0.0,-10.0,11955546,25327,31254,1
0.64216,0.2406,0.2406,0.0,0.0,-10.0,11954380,25372,37076,1
0.64216,0.2406,0.2406,0.0,0.0,-10.0,11955768,25324,34010,1
0.64216,0.2406,0.2406,0.0,0.0,-10.0,11959352,25316,35435,1
0.67441,0.2406,0.2406,0.0,0.0,-10.0,11952998,25378,35473,1
0.67441,0.2406,0.2406,0.0,0.0,-10.0,11952348,25406,36468,1
0.67441,0.2406,0.2406,0.0,0.0,-10.0,11952406,25336,34961,1
0.70633,0.2406,0.2406,0.0,0.0,-10.0,11952673,25349,35730,1
0.70633,0.2406,0.2406,0.0,0.0,-10.0,11951483,25436,32128,1
0.70633,0.2406,0.2406,0.0,0.0,-10.0,11950148,25430,31751,1
0.7384,0.45,0.45,0.0,0.0,-10.0,11950462,25385,36865,1
0.7384,0.45,0.45,0.0,0.0,-10.0,11948868,25363,33604,1
0.7384,0.45,0.45,0.0,0.0,-10.0,11949596,25351,33465,1
0.77051,0.45,0.45,0.0,0.0,-10.0,11947411,25394,35214,1
0.77051,0.45,0.45,0.0,0.0,-10.0,11946900,25341,33186,1
0.77051,0.45,0.45,0.0,0.0,-10.0,11946871,25344,37314,1
0.79031,0.45,0.45,0.0,0.0,-10.0,11944839,25347,33318,1
0.79031,0.45,0.45,0.0,0.0,-10.0,11946636,25376,37921,1
0.79031,0.45,0.45,0.0,0.0,-10.0,11947411,25356,35346,1
0.8183,0.45,0.45,0.0,0.0,-10.0,11948166,25450,37910,1
0.8183,0.45,0.45,0.0,0.0,-10.0,11943369,25396,35724,1
0.8183,0.45,0.45,0.0,0.0,-10.0,11941926,25391,34709,1
0.84996,0.45,0.45,0.0,0.0,-10.0,11941223,25331,36818,1
0.84996,0.45,0.45,0.0,0.0,-10.0,11941599,25342,38303,1
0.84996,0.45,0.45,0.0,0.0,-10.0,11940912,25382,37594,1
0.88334,0.45,0.45,0.0,0.0,-10.0,11941262,25436,29706,1
0.88334,0.45,0.45,0.0,0.0,-10.0,11939417,25402,35732,1
0.88334,0.45,0.45,0.0,0.0,-10.0,11939058,25466,39331,1
0.91557,0.45,0.45,0.0,0.0,-10.0,11937592,25413,32145,1
0.91557,0.45,0.45,0.0,0.0,-10.0,11939510,25442,34777,1
0.91557,0.45,0.45,0.0,0.0,-10.0,11935207,25410,33204,1
0.94769,0.7281,0.7281,0.0,0.0,-10.0,11934998,25495,33366,1
0.94769,0.7281,0.7281,0.0,0.0,-10.0,11934365,25399,34502,1
0.94769,0.7281,0.7281,0.0,0.0,-10.0,11935962,25421,32940,1
