t_s,ldc_raw,r_raw,teng_raw,xa_mm,z_mm,dL_pct,dR_pct,eps_pred_pct,d_pred_mm,eps_act_pct,d_act_mm
259.5823,11975630.0,25148.0,36013.0,0.0,0.0,-0.0271,-0.2216,0.0,31.14,0.0,36.0
259.5823,11973613.0,25172.0,35048.0,0.0,0.0,0.0066,-0.1263,0.1026,31.35,0.0,36.0
259.5823,11974076.0,25148.0,35058.0,0.0,0.0,-0.0012,-0.2216,0.0,31.65,0.0,36.0
259.6118,11973981.0,25161.0,34184.0,0.0,0.0,0.0004,-0.17,0.0418,31.73,0.0,36.0
259.6118,11974816.0,25148.0,35023.0,0.0,0.0,-0.0135,-0.2216,0.0,31.85,0.0,36.0
259.6118,11973984.0,25216.0,35230.0,0.0,0.0,0.0004,0.0482,0.3671,31.14,0.0,36.0
259.6488,11974151.0,25222.0,35611.0,0.0,0.0,-0.0024,0.0721,0.4048,30.57,0.0,36.0
259.6488,11974816.0,25219.0,34276.0,0.0,0.0,-0.0135,0.0601,0.386,30.24,0.0,36.0
259.6488,11973250.0,25182.0,34268.0,0.0,0.0,0.0126,-0.0867,0.1578,30.73,0.0,36.0
259.6759,11974816.0,25221.0,34331.0,0.0,0.0,-0.0135,0.0681,0.3986,30.29,0.0,36.0
259.6759,11975099.0,25178.0,34628.0,0.0,0.0,-0.0183,-0.1025,0.1357,30.72,0.0,36.0
259.6759,11976411.0,25211.0,35019.0,0.0,0.0,-0.0402,0.0284,0.3357,30.35,0.0,36.0
259.7088,11976995.0,25198.0,34039.0,0.0,0.0,-0.0499,-0.0232,0.2546,30.35,0.0,36.0
259.7088,11974171.0,25193.0,34808.0,0.0,0.0,-0.0028,-0.043,0.2239,30.64,0.0,36.0
259.7088,11973483.0,25240.0,34697.0,0.0,0.0,0.0087,0.1435,0.5226,29.9,0.0,36.0
259.7408,11974465.0,25180.0,34602.0,0.0,0.0,-0.0077,-0.0946,0.1467,30.5,0.0,36.0
259.7408,11974174.0,25162.0,34194.0,0.0,0.0,-0.0028,-0.166,0.0474,31.02,0.0,36.0
259.7408,11977435.0,25186.0,34747.0,0.0,0.0,-0.0572,-0.0708,0.1815,30.94,0.0,36.0
259.7729,11974710.0,25172.0,34343.0,0.0,0.0,-0.0118,-0.1263,0.1026,31.18,0.0,36.0
259.7729,11974129.0,25176.0,35749.0,0.0,0.0,-0.0021,-0.1105,0.1246,31.31,0.0,36.0
259.7729,11973691.0,25242.0,34539.0,0.0,0.0,0.0053,0.1514,0.5358,30.23,0.0,36.0
259.7888,11975042.0,25181.0,34086.0,0.0,0.0,-0.0173,-0.0906,0.1522,30.66,0.0,36.0
259.7888,11973675.0,25191.0,35488.0,0.0,0.0,0.0055,-0.0509,0.2117,30.88,0.0,36.0
259.7888,11973613.0,25178.0,35080.0,0.0,0.0,0.0066,-0.1025,0.1357,31.13,0.0,36.0
259.8206,11973879.0,25282.0,35354.0,0.0,0.0,0.0021,0.3101,0.8005,28.9,0.0,36.0
259.8206,11973409.0,25209.0,34490.0,0.0,0.0,0.01,0.0205,0.3232,29.56,0.0,36.0
259.8206,11975519.0,25173.0,36280.0,0.0,0.0,-0.0253,-0.1224,0.1081,30.31,0.0,36.0
259.8523,11975443.0,25188.0,34494.0,0.0,0.0,-0.024,-0.0628,0.1935,30.61,0.0,36.0
259.8523,11976656.0,25221.0,35056.0,0.0,0.0,-0.0442,0.0681,0.3986,30.04,0.0,36.0
259.8523,11974705.0,25203.0,33989.0,0.0,0.0,-0.0117,-0.0033,0.2858,30.25,0.0,36.0
259.8842,11975922.0,25159.0,34335.0,0.0,0.0,-0.032,-0.1779,0.0308,30.83,0.0,36.0
259.8842,11974816.0,25143.0,35187.0,0.0,0.0,-0.0135,-0.2414,0.0,31.35,0.0,36.0
259.8842,11974956.0,25174.0,34791.0,0.0,0.0,-0.0159,-0.1184,0.1136,31.4,0.0,36.0
259.916,11974252.0,25047.0,34671.0,0.0,0.0,-0.0041,-0.6223,0.0,32.29,0.0,36.0
259.916,11974076.0,25136.0,34704.0,0.0,0.0,-0.0012,-0.2692,0.0,32.29,0.0,36.0
259.916,11973581.0,25150.0,34644.0,0.0,0.0,0.0071,-0.2136,0.0,32.21,0.0,36.0
259.9497,11974562.0,25216.0,34833.0,0.0,0.0,-0.0093,0.0482,0.3671,31.31,0.0,36.0
259.9497,11975546.0,25235.0,33997.0,0.0,0.0,-0.0257,0.1236,0.4895,30.21,0.0,36.0
259.9497,11975902.0,25207.0,35041.0,0.0,0.0,-0.0317,0.0125,0.3108,30.17,0.0,36.0
259.9804,11974076.0,25158.0,36138.0,0.0,0.0,-0.0012,-0.1819,0.0253,30.86,0.0,36.0
259.9804,11974511.0,25173.0,35417.0,0.0,0.0,-0.0084,-0.1224,0.1081,31.13,0.0,36.0
259.9804,11974894.0,25248.0,35872.0,0.0,0.0,-0.0148,0.1752,0.5755,29.8,0.0,36.0
260.0015,11973296.0,25204.0,35898.0,0.0,0.0,0.0119,0.0006,0.292,30.2,0.0,36.0
260.0015,11974816.0,25167.0,33511.0,0.0,0.0,-0.0135,-0.1462,0.075,30.78,0.0,36.0
260.0015,11976752.0,25181.0,35402.0,0.0,0.0,-0.0458,-0.0906,0.1522,30.91,0.0,36.0
260.0522,11974244.0,25217.0,35399.0,0.0,0.0,-0.004,0.0522,0.3734,30.53,0.0,36.0
260.0522,11974384.0,25242.0,34943.0,0.0,0.0,-0.0063,0.1514,0.5358,29.68,0.0,36.0
260.0522,11973455.0,25106.0,33872.0,0.0,0.0,0.0092,-0.3882,0.0,30.93,0.0,36.0
260.0677,11975115.0,25158.0,35223.0,0.0,0.0,-0.0185,-0.1819,0.0253,31.28,0.0,36.0
260.0677,11972881.0,25241.0,36128.0,0.0,0.0,0.0188,0.1474,0.5292,30.33,0.0,36.0
260.0677,11975411.0,25274.0,34517.0,0.0,0.0,-0.0235,0.2784,0.7475,28.47,0.0,36.0
260.0934,11975017.0,25213.0,35192.0,0.0,0.0,-0.0169,0.0363,0.3483,29.08,0.0,36.0
260.0934,11975435.0,25202.0,33961.0,0.0,0.0,-0.0239,-0.0073,0.2796,29.63,0.0,36.0
260.0934,11974686.0,25219.0,34529.0,0.0,0.0,-0.0114,0.0601,0.386,29.69,0.0,36.0
260.1228,11977262.0,25248.0,35294.0,0.0,0.0,-0.0544,0.1752,0.5755,28.64,0.0,36.0
260.1228,11973810.0,25216.0,34603.0,0.0,0.0,0.0033,0.0482,0.3671,29.23,0.0,36.0
260.1228,11973938.0,25226.0,35170.0,0.0,0.0,0.0011,0.0879,0.4304,29.36,0.0,36.0
260.1537,11972473.0,25205.0,34221.0,0.0,0.0,0.0256,0.0046,0.2983,29.98,0.0,36.0
260.1537,11973907.0,25233.0,34468.0,0.0,0.0,0.0017,0.1157,0.4763,29.65,0.0,36.0
