t_s,dL_pct,dR_pct,dV,xa_mm,z_mm,eps_ei_pct,d_ei_mm,eps_act_pct,d_act_mm,latency_us
18373.5807,-0.142,0.0344,-3.5105,0.0,0.0,0.4584,25.0,0.0,36.0,1068.78
18373.5933,-0.168,0.0344,-0.279,0.0,0.0,0.4584,25.0,0.0,36.0,1068.55
18373.5967,-0.174,0.042,0.3151,0.0,0.0,0.4584,25.0,0.0,36.0,1068.72
18373.5967,-0.14,0.042,-1.7426,0.0,0.0,0.4584,25.0,0.0,36.0,1068.72
18373.5967,-0.124,0.042,-1.8948,0.0,0.0,0.4584,29.46,0.0,36.0,1068.73
18373.6305,-0.142,0.042,-3.4091,0.0,0.0,0.4584,25.0,0.0,36.0,1068.78
18373.6305,-0.168,0.0382,1.5795,0.0,0.0,0.4584,25.0,0.0,36.0,1068.79
18373.6305,-0.156,0.0306,-3.9054,0.0,0.0,0.4584,25.0,0.0,36.0,1068.73
18373.6305,-0.152,0.0306,-1.9853,0.0,0.0,0.4584,25.0,0.0,36.0,1068.72
18373.6305,-0.196,0.0306,-2.1701,0.0,0.0,0.4584,25.0,0.0,36.0,1068.78
18373.6769,-0.194,0.0306,-6.8471,0.0,0.0,0.4584,25.0,0.0,36.0,1068.78
18373.6769,-0.182,0.0344,-2.9164,0.0,0.0,0.4584,25.0,0.0,36.0,1068.65
18373.6769,-0.2039,0.0306,-1.7933,0.0,0.0,0.4584,25.0,0.0,36.0,1068.71
18373.6769,-0.148,0.0267,-2.6737,0.0,0.0,0.3373,25.0,0.0,36.0,1068.66
18373.6769,-0.2159,0.0306,-4.2822,0.0,0.0,0.4584,25.0,0.0,36.0,1068.7
18373.7281,-0.184,0.0306,0.6702,0.0,0.0,0.4584,25.0,0.0,36.0,1068.68
18373.7281,-0.156,0.0306,-2.1013,0.0,0.0,0.4584,25.0,0.0,36.0,1068.7
18373.7281,-0.178,0.0306,-1.105,0.0,0.0,0.4584,25.0,0.0,36.0,1069.06
18373.7281,-0.194,0.0306,-0.913,0.0,0.0,0.4584,25.0,0.0,36.0,1068.69
18373.7281,-0.166,0.0267,-2.5433,0.0,0.0,0.3373,25.0,0.0,36.0,1068.72
18373.7769,-0.2319,0.0267,-0.5942,0.0,0.0,0.3373,25.0,0.0,36.0,1068.7
18373.7769,-0.152,0.0229,2.8294,0.0,0.0,0.3373,25.0,0.0,36.0,1068.69
18373.7769,-0.176,0.0267,-4.2134,0.0,0.0,0.3373,25.0,0.0,36.0,1068.7
18373.7769,-0.196,0.0267,-1.2499,0.0,0.0,0.3373,25.0,0.0,36.0,1068.72
18373.7769,-0.174,0.0267,1.8729,0.0,0.0,0.3373,25.0,0.0,36.0,1068.71
18373.8355,-0.2059,0.0306,-3.4055,0.0,0.0,0.4584,25.0,0.0,36.0,1068.7
18373.8382,-0.162,0.0344,0.6593,0.0,0.0,0.4584,25.0,0.0,36.0,1068.69
18373.8382,-0.15,0.042,-0.2464,0.0,0.0,0.4584,25.0,0.0,36.0,1068.69
18373.8382,-0.156,0.0382,-2.5288,0.0,0.0,0.4584,25.0,0.0,36.0,1068.52
18373.8382,-0.16,0.042,-2.3078,0.0,0.0,0.4584,25.0,0.0,36.0,1068.68
18373.8758,-0.1999,0.0382,-0.4928,0.0,0.0,0.4584,25.0,0.0,36.0,1068.68
18373.8758,-0.3018,0.0382,-2.5433,0.0,0.0,0.4584,25.0,0.0,36.0,1068.74
18373.8758,-0.168,0.0382,-1.047,0.0,0.0,0.4584,25.0,0.0,36.0,1068.57
18373.8758,-0.152,0.0382,4.3147,0.0,0.0,0.4584,25.0,0.0,36.0,1068.73
18373.8778,-0.158,0.0382,-2.92,0.0,0.0,0.4584,25.0,0.0,36.0,1069.2
18373.9471,-0.18,0.042,-1.8332,0.0,0.0,0.4584,25.0,0.0,36.0,1068.64
18373.9581,-0.162,0.0459,-2.3621,0.0,0.0,0.4584,25.0,0.0,36.0,1068.72
18373.9581,-0.152,0.042,-2.3404,0.0,0.0,0.4584,25.0,0.0,36.0,1068.64
18373.9581,-0.136,0.0497,-3.4671,0.0,0.0,0.4584,29.46,0.0,36.0,1068.64
