t_s,ldc_raw,r_raw,teng_raw,xa_mm,z_mm,dL_pct,dR_pct,eps_pred_pct,d_pred_mm,eps_act_pct,d_act_mm
654.4888,11894126.0,25468.0,33254.0,0.0,0.0,0.0321,-0.0061,2.8905,27.9,0.0,36.0
654.4888,11893838.0,25471.0,33237.0,0.0,0.0,0.0369,0.0057,2.8997,28.03,0.0,36.0
654.4888,11895499.0,25430.0,34126.0,0.0,0.0,0.009,-0.1553,2.7773,10.57,0.0,36.0
654.5207,11894421.0,25492.0,33047.0,0.0,0.0,0.0271,0.0881,2.9643,27.77,0.0,36.0
654.5207,11895409.0,25423.0,33148.0,0.0,0.0,0.0105,-0.1828,2.757,9.63,0.0,36.0
654.5207,11894630.0,25505.0,34043.0,0.0,0.0,0.0236,0.1391,3.0051,27.51,0.0,36.0
654.5532,11894890.0,25479.0,33234.0,0.0,0.0,0.0192,0.0371,2.9241,27.65,0.0,36.0
654.5532,11894114.0,25477.0,33748.0,0.0,0.0,0.0323,0.0292,2.918,27.82,0.0,36.0
654.5532,11894640.0,25524.0,33943.0,0.0,0.0,0.0234,0.2137,3.0656,27.57,0.0,36.0
654.5851,11895984.0,25480.0,32578.0,0.0,0.0,0.0008,0.041,2.9272,27.58,0.0,36.0
654.5851,11894691.0,25455.0,32933.0,0.0,0.0,0.0226,-0.0572,2.8513,27.86,0.0,36.0
654.5851,11894589.0,25591.0,33521.0,0.0,0.0,0.0243,0.4768,3.2881,27.15,0.0,36.0
654.6207,11895984.0,25492.0,33653.0,0.019,0.0,0.0008,0.0881,2.9643,27.25,0.0317,36.0
654.6207,11895984.0,25407.0,33234.0,0.019,0.0,0.0008,-0.2456,2.711,8.49,0.0317,36.0
654.6207,11895984.0,25396.0,33032.0,0.019,0.0,0.0008,-0.2888,2.6798,7.89,0.0317,36.0
654.6365,11893791.0,25508.0,33335.0,0.019,0.0,0.0377,0.1509,3.0145,27.66,0.0317,36.0
654.6365,11893478.0,25458.0,31534.0,0.019,0.0,0.043,-0.0454,2.8603,28.01,0.0317,36.0
654.6365,11893423.0,25518.0,32497.0,0.019,0.0,0.0439,0.1902,3.0463,27.84,0.0317,36.0
654.6805,11893320.0,25478.0,31746.0,0.019,0.0,0.0456,0.0331,2.9211,28.0,0.0317,36.0
654.6805,11894137.0,25443.0,33137.0,0.019,0.0,0.0319,-0.1043,2.8156,12.04,0.0317,36.0
654.6805,11893160.0,25487.0,34508.0,0.019,0.0,0.0483,0.0685,2.9488,28.15,0.0317,36.0
654.7017,11891687.0,25457.0,33627.0,0.019,0.0,0.0731,-0.0493,2.8573,28.47,0.0317,36.0
654.7017,11892059.0,25531.0,34619.0,0.019,0.0,0.0669,0.2412,3.0881,28.16,0.0317,36.0
654.7017,11892174.0,25436.0,32963.0,0.019,0.0,0.0649,-0.1318,2.7949,9.74,0.0317,36.0
654.7286,11893283.0,25431.0,33080.0,0.056,0.0,0.0463,-0.1514,2.7803,9.65,0.0933,36.0
654.7299,11897730.0,25445.0,32975.0,0.056,0.0,-0.0285,-0.0964,2.8215,27.71,0.0933,36.0
654.7299,11891180.0,25437.0,32987.0,0.056,0.0,0.0817,-0.1278,2.7979,9.46,0.0933,36.0
654.7601,11890912.0,25517.0,32229.0,0.056,0.0,0.0862,0.1863,3.0431,28.19,0.0933,36.0
654.7601,11890633.0,25524.0,33042.0,0.056,0.0,0.0909,0.2137,3.0656,28.18,0.0933,36.0
654.7601,11888397.0,25576.0,32145.0,0.056,0.0,0.1285,0.4179,3.237,28.03,0.0933,36.0
654.7919,11893193.0,25481.0,33864.0,0.056,0.0,0.0478,0.0449,2.9303,28.11,0.0933,36.0
654.7919,11890010.0,25453.0,34527.0,0.056,0.0,0.1014,-0.065,2.8453,10.99,0.0933,36.0
654.7919,11888831.0,25598.0,34102.0,0.056,0.0,0.1212,0.5043,3.3122,27.32,0.0933,36.0
654.8243,11889971.0,25593.0,33747.0,0.056,0.0,0.102,0.4847,3.295,27.25,0.0933,36.0
654.8243,11886923.0,25510.0,32838.0,0.056,0.0,0.1534,0.1588,3.0209,28.04,0.0933,36.0
654.8243,11886867.0,25473.0,34786.0,0.056,0.0,0.1543,0.0135,2.9058,28.76,0.0933,36.0
654.856,11888385.0,25513.0,33724.0,0.109,0.0,0.1287,0.1706,3.0304,28.8,0.1817,36.0
654.856,11886021.0,25548.0,33066.0,0.109,0.0,0.1686,0.308,3.1436,28.81,0.1817,36.0
654.856,11886671.0,25535.0,34170.0,0.109,0.0,0.1576,0.2569,3.1011,28.84,0.1817,36.0
654.8881,11886019.0,25487.0,33694.0,0.109,0.0,0.1686,0.0685,2.9488,29.23,0.1817,36.0
654.8881,11885766.0,25491.0,33533.0,0.109,0.0,0.1729,0.0842,2.9612,29.46,0.1817,36.0
654.8881,11889021.0,25456.0,34127.0,0.109,0.0,0.118,-0.0532,2.8543,10.87,0.1817,36.0
654.9203,11885322.0,25530.0,34869.0,0.109,0.0,0.1803,0.2373,3.0849,29.28,0.1817,36.0
654.9203,11884552.0,25542.0,33322.0,0.109,0.0,0.1933,0.2844,3.1239,29.27,0.1817,36.0
654.9227,11883269.0,25501.0,33673.0,0.109,0.0,0.215,0.1234,2.9925,29.65,0.1817,36.0
654.9408,11880698.0,25495.0,33502.0,0.109,0.0,0.2583,0.0999,2.9737,30.14,0.1817,36.0
654.9408,11883068.0,25519.0,32815.0,0.109,0.0,0.2183,0.1941,3.0495,30.07,0.1817,36.0
654.9408,11883713.0,25435.0,34200.0,0.109,0.0,0.2075,-0.1357,2.792,7.61,0.1817,36.0
654.9684,11881226.0,25533.0,33560.0,0.184,0.0,0.2494,0.2491,3.0946,30.15,0.3067,36.0
654.9684,11882090.0,25602.0,32998.0,0.184,0.0,0.2348,0.52,3.3261,29.61,0.3067,36.0
654.9684,11879973.0,25464.0,33929.0,0.184,0.0,0.2706,-0.0218,2.8784,8.34,0.3067,36.0
655.0055,11882225.0,25559.0,33132.0,0.184,0.0,0.2326,0.3512,3.18,29.5,0.3067,36.0
655.0055,11880193.0,25494.0,32553.0,0.184,0.0,0.2669,0.096,2.9706,11.83,0.3067,36.0
655.0055,11881543.0,25514.0,33508.0,0.184,0.0,0.2441,0.1745,3.0336,30.39,0.3067,36.0
655.0343,11877857.0,25517.0,33097.0,0.184,0.0,0.3063,0.1863,3.0431,30.69,0.3067,36.0
655.0343,11877675.0,25515.0,34356.0,0.184,0.0,0.3094,0.1784,3.0368,30.9,0.3067,36.0
655.0343,11880083.0,25561.0,33325.0,0.184,0.0,0.2687,0.359,3.1867,30.52,0.3067,36.0
655.0636,11879697.0,25577.0,34292.0,0.281,0.0,0.2752,0.4218,3.2404,30.22,0.4683,36.0
655.0656,11877408.0,25572.0,33559.0,0.281,0.0,0.3139,0.4022,3.2235,30.27,0.4683,36.0
655.0656,11876166.0,25582.0,33676.0,0.281,0.0,0.3349,0.4415,3.2574,30.34,0.4683,36.0
655.0961,11874762.0,25599.0,32199.0,0.281,0.0,0.3586,0.5082,3.3157,30.39,0.4683,36.0
655.0961,11874644.0,25546.0,35365.0,0.281,0.0,0.3606,0.3001,3.137,30.78,0.4683,36.0
655.0961,11879040.0,25551.0,33643.0,0.281,0.0,0.2863,0.3198,3.1535,30.6,0.4683,36.0
655.1264,11874529.0,25587.0,33911.0,0.281,0.0,0.3625,0.4611,3.2744,30.65,0.4683,36.0
655.1264,11872871.0,25563.0,33206.0,0.281,0.0,0.3906,0.3669,3.1933,30.97,0.4683,36.0
655.1264,11873415.0,25520.0,33637.0,0.281,0.0,0.3814,0.198,3.0527,31.38,0.4683,36.0
655.1585,11872407.0,25526.0,32963.0,0.281,0.0,0.3984,0.2216,3.072,31.67,0.4683,36.0
655.1585,11871403.0,25667.0,32708.0,0.281,0.0,0.4154,0.7752,3.5585,31.01,0.4683,36.0
655.1585,11869111.0,25589.0,33271.0,0.281,0.0,0.4542,0.469,3.2813,31.31,0.4683,36.0
655.1902,11870265.0,25562.0,32557.0,0.391,0.0,0.4346,0.3629,3.19,31.58,0.6517,36.0
655.1902,11871528.0,25576.0,33896.0,0.391,0.0,0.4133,0.4179,3.237,31.55,0.6517,36.0
655.1902,11869894.0,25545.0,31353.0,0.391,0.0,0.4409,0.2962,3.1338,31.86,0.6517,36.0
655.2219,11864551.0,25529.0,32763.0,0.391,0.0,0.5314,0.2334,3.0817,8.83,0.6517,36.0
655.2219,11866007.0,25509.0,33452.0,0.391,0.0,0.5067,0.1549,3.0177,7.97,0.6517,36.0
655.2219,11864211.0,25627.0,33527.0,0.391,0.0,0.5372,0.6181,3.4138,32.09,0.6517,36.0
655.2379,11866900.0,25651.0,34628.0,0.391,0.0,0.4916,0.7124,3.4999,31.73,0.6517,36.0
655.2379,11866415.0,25576.0,33281.0,0.391,0.0,0.4998,0.4179,3.237,32.03,0.6517,36.0
655.2379,11867840.0,25657.0,35340.0,0.391,0.0,0.4757,0.7359,3.5218,31.58,0.6517,36.0
655.2738,11863627.0,25618.0,33892.0,0.391,0.0,0.5471,0.5828,3.382,31.89,0.6517,36.0
655.2738,11859057.0,25652.0,33827.0,0.391,0.0,0.6246,0.7163,3.5036,32.17,0.6517,36.0
655.2738,11859238.0,25640.0,32692.0,0.391,0.0,0.6215,0.6692,3.4602,32.4,0.6517,36.0
655.3015,11863002.0,25595.0,32128.0,0.497,0.0,0.5577,0.4925,3.3019,32.56,0.8283,36.0
655.3015,11863797.0,25525.0,33403.0,0.497,0.0,0.5442,0.2177,3.0688,8.38,0.8283,36.0
655.3015,11864897.0,25635.0,33023.0,0.497,0.0,0.5255,0.6496,3.4423,31.84,0.8283,36.0
